symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2026-03-02 14:05:00+00:00,261.38,261.4,261.35,261.38,3160.0,59.0,261.374315
AAPL,2026-03-02 14:06:00+00:00,261.424,261.5,261.38,261.4269,9051.0,149.0,261.48261
AAPL,2026-03-02 14:07:00+00:00,261.5,261.5,261.491,261.5,4673.0,66.0,261.498649
AAPL,2026-03-02 14:08:00+00:00,261.58,261.59,261.58,261.58,1590.0,47.0,261.581926
AAPL,2026-03-02 14:09:00+00:00,261.57,264.18,261.55,264.18,2340.0,38.0,263.177284
AAPL,2026-03-02 14:10:00+00:00,261.62,261.6928,261.61,261.66,1964.0,63.0,261.648468
AAPL,2026-03-02 14:11:00+00:00,261.691,261.691,261.58,261.58,1637.0,73.0,261.614156
AAPL,2026-03-02 14:12:00+00:00,261.68,261.68,261.6598,261.6598,1584.0,45.0,261.678164
AAPL,2026-03-02 14:13:00+00:00,261.68,261.68,261.5999,261.5999,1641.0,50.0,261.625274
AAPL,2026-03-02 14:14:00+00:00,261.6331,261.9,261.63,261.87,7383.0,127.0,261.728172
AAPL,2026-03-02 14:15:00+00:00,261.88,262.1184,261.88,262.0,8916.0,153.0,262.017574
AAPL,2026-03-02 14:16:00+00:00,262.11,262.18,262.0,262.11,3991.0,92.0,262.083605
AAPL,2026-03-02 14:17:00+00:00,262.14,262.42,262.14,262.42,8960.0,245.0,262.283443
AAPL,2026-03-02 14:19:00+00:00,262.2501,264.18,262.13,262.24,34383.0,105.0,263.886049
AAPL,2026-03-02 14:20:00+00:00,262.2429,262.3,262.06,262.06,4421.0,65.0,262.253999
AAPL,2026-03-02 14:21:00+00:00,262.0581,262.1856,262.0581,262.155,2381.0,39.0,262.133525
AAPL,2026-03-02 14:22:00+00:00,262.165,262.1845,262.1,262.1,2998.0,83.0,262.152388
AAPL,2026-03-02 14:23:00+00:00,262.055,262.08,262.0103,262.03,2978.0,115.0,262.043043
AAPL,2026-03-02 14:24:00+00:00,262.03,262.2,262.03,262.06,2829.0,83.0,262.1294
AAPL,2026-03-02 14:25:00+00:00,262.01,262.01,261.09,261.4024,23770.0,569.0,261.491461
AAPL,2026-03-02 14:26:00+00:00,261.38,261.4373,261.1,261.2564,9129.0,236.0,261.238619
AAPL,2026-03-02 14:27:00+00:00,261.2521,261.56,261.06,261.56,4518.0,151.0,261.232588
AAPL,2026-03-02 14:28:00+00:00,261.88,262.23,261.88,262.2,4055.0,196.0,262.149603
AAPL,2026-03-02 14:29:00+00:00,262.17,262.48,262.06,262.43,11127.0,199.0,262.246668
